Gene symbol,Official name,tissue
ABCC9,ATP binding cassette subfamily C member 9,both
ABCG1,ATP binding cassette subfamily G member 1,both
ABLIM1,actin binding LIM protein 1,both
ACSL4,acyl-CoA synthetase long chain family member 4,both
ACTA2,actin. alpha 2. smooth muscle. aorta,both
ACTN1,actinin alpha 1,both
ACTR1B,ARP1 actin related protein 1 homolog B,both
ADAM10,ADAM metallopeptidase domain 10,both
ADAM9,ADAM metallopeptidase domain 9,both
ADAP2,ArfGAP with dual PH domains 2,both
ADCY1,adenylate cyclase 1,both
ADGRG1,adhesion G protein-coupled receptor G1,both
ADH1B,alcohol dehydrogenase 1B (class I). beta polypeptide,both
ADIPOR2,adiponectin receptor 2,both
AEBP1,AE binding protein 1,both
AFDN,afadin. adherens junction formation factor,both
AGRN,agrin,both
AHNAK2,AHNAK nucleoprotein 2,both
ALDH18A1,aldehyde dehydrogenase 18 family member A1,both
ALOX5,arachidonate 5-lipoxygenase,both
ALS2CL,ALS2 C-terminal like,both
ANKH,ANKH inorganic pyrophosphate transport regulator,both
ANKRD36C,ankyrin repeat domain 36C,both
ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B,both
ANXA3,annexin A3,both
ANXA4,annexin A4,both
ANXA5,annexin A5,both
ANXA6,annexin A6,both
AOAH,acyloxyacyl hydrolase,both
AOC3,amine oxidase. copper containing 3,both
AP1S1,adaptor related protein complex 1 subunit sigma 1,both
APBB1IP,amyloid beta precursor protein binding family B member 1 interacting protein,both
APCDD1,APC down-regulated 1,both
APLN,apelin,both
APOLD1,apolipoprotein L domain containing 1,both
ARC,activity regulated cytoskeleton associated protein,both
AREG,amphiregulin,both
ARHGAP1,Rho GTPase activating protein 1,both
ARHGAP15,Rho GTPase activating protein 15,both
ARHGAP28,Rho GTPase activating protein 28,both
ARHGAP30,Rho GTPase activating protein 30,both
ARHGEF26,Rho guanine nucleotide exchange factor 26,both
ARMH4,armadillo-like helical domain containing 4,both
ARPC1B,actin related protein 2/3 complex subunit 1B,both
ASPHD1,aspartate beta-hydroxylase domain containing 1,both
ATF3,activating transcription factor 3,both
ATF4,activating transcription factor 4,both
BAIAP2,BAI1 associated protein 2,both
BAX,BCL2 associated X. apoptosis regulator,both
BAZ2B,bromodomain adjacent to zinc finger domain 2B,both
BCL3,B cell CLL/lymphoma 3,both
BEX4,brain expressed X-linked 4,both
BIRC5,baculoviral IAP repeat containing 5,both
BMP7,bone morphogenetic protein 7,both
BRAF,B-Raf proto-oncogene. serine/threonine kinase,both
BST1,bone marrow stromal cell antigen 1,both
BTBD6,BTB domain containing 6,both
BTG2,BTG anti-proliferation factor 2,both
BTG3,BTG anti-proliferation factor 3,both
C11orf96,chromosome 11 open reading frame 96,both
C15orf61,chromosome 15 open reading frame 61,both
C16orf72,chromosome 16 open reading frame 72,both
C1orf115,chromosome 1 open reading frame 115,both
C1orf162,chromosome 1 open reading frame 162,both
C1orf52,chromosome 1 open reading frame 52,both
C1QA,complement C1q A chain,both
C1QB,complement C1q B chain,both
C1QC,complement C1q C chain,both
C1S,complement C1s,both
C22orf39,chromosome 22 open reading frame 39,both
C3,complement C3,both
C3AR1,complement C3a receptor 1,both
C7,complement C7,both
C8G,complement C8 gamma chain,both
CA10,carbonic anhydrase 10,both
CACNB2,calcium voltage-gated channel auxiliary subunit beta 2,both
CAMK2G,calcium/calmodulin dependent protein kinase II gamma,both
CAMKK1,calcium/calmodulin dependent protein kinase kinase 1,both
CAMSAP2,calmodulin regulated spectrin associated protein family member 2,both
CAPG,capping actin protein. gelsolin like,both
CAPN1,calpain 1,both
CASP8,caspase 8,both
CASZ1,castor zinc finger 1,both
CAVIN2,caveolae associated protein 2,both
CCDC146,coiled-coil domain containing 146,both
CCDC148,coiled-coil domain containing 148,both
CCDC39,coiled-coil domain containing 39,both
CCDC85C,coiled-coil domain containing 85C,both
CCL21,C-C motif chemokine ligand 21,both
CCND2,cyclin D2,both
CCNL1,cyclin L1,both
CCR2,C-C motif chemokine receptor 2,both
CD163,CD163 molecule,both
CD1D,CD1d molecule,both
CD276,CD276 molecule,both
CD33,CD33 molecule,both
CD36,CD36 molecule,both
CD3D,CD3d molecule,both
CD3G,CD3g molecule,both
CD44,CD44 molecule (Indian blood group),both
CD52,CD52 molecule,both
CD53,CD53 molecule,both
CD84,CD84 molecule,both
CD86,CD86 molecule,both
CDC14A,cell division cycle 14A,both
CDH3,cadherin 3,both
CDH6,cadherin 6,both
CDK1,cyclin dependent kinase 1,both
CDK5RAP2,CDK5 regulatory subunit associated protein 2,both
CDKN1A,cyclin dependent kinase inhibitor 1A,both
CDKN1C,cyclin dependent kinase inhibitor 1C,both
CEBPB,CCAAT enhancer binding protein beta,both
CEBPD,CCAAT enhancer binding protein delta,both
CELF2,CUGBP Elav-like family member 2,both
CENPF,centromere protein F,both
CFAP20,cilia and flagella associated protein 20,both
CFAP45,cilia and flagella associated protein 45,both
CFL1,cofilin 1,both
CHI3L1,chitinase 3 like 1,both
CHST15,carbohydrate sulfotransferase 15,both
CHSY1,chondroitin sulfate synthase 1,both
CIAO2A,cytosolic iron-sulfur assembly component 2A,both
CLCF1,cardiotrophin like cytokine factor 1,both
CLEC10A,C-type lectin domain containing 10A,both
CLIC5,chloride intracellular channel 5,both
CLK1,CDC like kinase 1,both
CLU,clusterin,both
CMTM7,CKLF like MARVEL transmembrane domain containing 7,both
CNIH3,cornichon family AMPA receptor auxiliary protein 3,both
CNKSR3,CNKSR family member 3,both
COL14A1,collagen type XIV alpha 1 chain,both
COL15A1,collagen type XV alpha 1 chain,both
COL16A1,collagen type XVI alpha 1 chain,both
COL18A1,collagen type XVIII alpha 1 chain,both
COL1A1,collagen type I alpha 1 chain,both
COL1A2,collagen type I alpha 2 chain,both
COL3A1,collagen type III alpha 1 chain,both
COL4A1,collagen type IV alpha 1 chain,both
COL5A2,collagen type V alpha 2 chain,both
COL6A2,collagen type VI alpha 2 chain,both
COL6A3,collagen type VI alpha 3 chain,both
COL8A1,collagen type VIII alpha 1 chain,both
COLEC12,collectin subfamily member 12,both
COPZ2,coatomer protein complex subunit zeta 2,both
CORO1A,coronin 1A,both
CP,ceruloplasmin,both
CPEB4,cytoplasmic polyadenylation element binding protein 4,both
CPNE4,copine 4,both
CPVL,carboxypeptidase. vitellogenic like,both
CREM,cAMP responsive element modulator,both
CSF1R,colony stimulating factor 1 receptor,both
CSPP1,centrosome and spindle pole associated protein 1,both
CSRNP1,cysteine and serine rich nuclear protein 1,both
CSRNP2,cysteine and serine rich nuclear protein 2,both
